"SVY_COMP","SVY_COMP_LABEL","GEO_ID","GEO_ID_F","NAME","YEAR","AGG_DESC","AGG_DESC_LABEL","GOVTYPE","GOVTYPE_LABEL","AMOUNT"
"Survey Component","Meaning of Survey Component","id","Geo Footnote","Geographic Area Name","Year","Aggregate Description","Meaning of Aggregate Description","Type of Government","Meaning of Type of Government","Amount"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2012","SF0001","Total Revenue","002","State","29652729"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2013","SF0001","Total Revenue","002","State","30469040"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2014","SF0001","Total Revenue","002","State","29321403"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2015","SF0001","Total Revenue","002","State","28169117"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2016","SF0001","Total Revenue","002","State","30732245"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2017","SF0001","Total Revenue","002","State","33481103"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2018","SF0001","Total Revenue","002","State","35022122"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2019","SF0001","Total Revenue","002","State","35751682"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2020","SF0001","Total Revenue","002","State","36908937"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2012","SF0003","General Revenue","002","State","23527080"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2013","SF0003","General Revenue","002","State","24248330"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2014","SF0003","General Revenue","002","State","24136181"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2015","SF0003","General Revenue","002","State","26154103"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2016","SF0003","General Revenue","002","State","25848641"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2017","SF0003","General Revenue","002","State","26785617"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2018","SF0003","General Revenue","002","State","28646368"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2019","SF0003","General Revenue","002","State","30461683"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2020","SF0003","General Revenue","002","State","33149140"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2012","SF0004","Intergovernmental Revenue","002","State","9575193"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2013","SF0004","Intergovernmental Revenue","002","State","9850561"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2014","SF0004","Intergovernmental Revenue","002","State","9378560"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2015","SF0004","Intergovernmental Revenue","002","State","10034425"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2016","SF0004","Intergovernmental Revenue","002","State","9525667"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2017","SF0004","Intergovernmental Revenue","002","State","9954818"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2018","SF0004","Intergovernmental Revenue","002","State","10614505"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2019","SF0004","Intergovernmental Revenue","002","State","11335441"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2020","SF0004","Intergovernmental Revenue","002","State","13657057"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2012","SF0005","Total Taxes","002","State","9049294"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2013","SF0005","Total Taxes","002","State","9270919"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2014","SF0005","Total Taxes","002","State","9296846"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2015","SF0005","Total Taxes","002","State","9755439"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2016","SF0005","Total Taxes","002","State","10355317"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2017","SF0005","Total Taxes","002","State","10417084"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2018","SF0005","Total Taxes","002","State","11055577"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2019","SF0005","Total Taxes","002","State","11583068"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2020","SF0005","Total Taxes","002","State","12044879"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2012","SF0006","General Sales and Gross Receipts Taxes","002","State","2274658"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2013","SF0006","General Sales and Gross Receipts Taxes","002","State","2331676"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2014","SF0006","General Sales and Gross Receipts Taxes","002","State","2393192"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2015","SF0006","General Sales and Gross Receipts Taxes","002","State","2463912"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2016","SF0006","General Sales and Gross Receipts Taxes","002","State","2648616"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2017","SF0006","General Sales and Gross Receipts Taxes","002","State","2654883"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2018","SF0006","General Sales and Gross Receipts Taxes","002","State","2786833"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2019","SF0006","General Sales and Gross Receipts Taxes","002","State","2912839"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2020","SF0006","General Sales and Gross Receipts Taxes","002","State","2980152"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2012","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2351699"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2013","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2376842"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2014","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2419482"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2015","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2472137"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2016","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2565774"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2017","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2592411"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2018","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2747974"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2019","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2713061"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2020","SF0007","Selective Sales and Gross Receipts Taxes","002","State","2923709"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2012","SF0008","License Taxes","002","State","517676"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2013","SF0008","License Taxes","002","State","490430"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2014","SF0008","License Taxes","002","State","386378"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2015","SF0008","License Taxes","002","State","493883"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2016","SF0008","License Taxes","002","State","575510"
"02","Annual Survey of State Government Finance","0400000US01","null","Alabama","2017","SF0008","License Taxes","002","State","528539"
